t,count
1486143539,0
1486143539,0
1486143540,932
1486143540,1864
1486143540,2796
1486143540,2796
1486143540,2796
1486143540,2796
1486143540,2796
1486143540,2796
1486143540,2796
1486143540,2796
1486143541,2796
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143541,3728
1486143542,3728
1486143542,3728
1486143542,4660
1486143542,4660
1486143542,4660
1486143542,4660
1486143542,4660
1486143542,4660
1486143542,4660
1486143542,4660
1486143543,4660
1486143543,4660
